#{"t_start": 1672664700.160758, "env_id": null}
r,l,t
13.484224,46,2.03769
6.852844,44,3.928691
11.596344,43,5.960692
12.381296,42,7.586694
7.201158,47,9.413743
8.957627,47,11.16974
14.319377,50,13.13474
10.46567,43,14.945739
15.418865,45,16.756747
11.485735,54,18.69574
13.349451,51,20.67774
10.718953,50,22.906743
8.269038,47,24.728739
10.929104,46,26.597738
11.27677,46,28.226766
10.11604,46,30.142739
9.979348,43,31.832739
15.887754,48,34.037739
8.190759,53,35.937737
12.817388,123,39.646737
11.240269,42,41.759739
13.550181,47,43.491738
11.564729,54,45.315741
4.133244,41,47.316749
12.534665,45,49.025741
7.73295,51,50.882739
6.016945,57,52.796739
14.303085,54,54.640741
11.65006,45,56.281739
11.256823,47,57.96174
13.543504,46,59.712741
11.68614,54,61.551737
9.725061,39,63.107742
9.833532,43,64.728739
11.521715,75,66.936742
4.650697,46,68.725739
10.044279,44,70.444737
12.027505,48,72.269738
11.712905,42,73.907742
7.765219,49,75.629739
17.106681,50,77.424739
17.611239,57,79.450742
12.513276,54,81.91974
10.817013,48,84.447738
5.834249,41,86.319741
10.437211,47,88.447747
16.763333,51,90.373744
10.943333,40,92.073744
12.406739,48,93.967739
9.126395,42,95.588738
16.559556,46,97.304739
14.130381,53,99.18874
13.523743,39,100.77274
9.53246,50,102.59874
2.961831,41,104.181738
9.603294,47,105.951738
7.728129,48,107.69174
14.543895,49,109.479738
11.023775,51,111.286741
6.749543,52,113.07974
12.868905,45,114.728741
10.502369,51,116.506739
9.253507,44,118.182741
11.406178,46,119.896739
12.50912,59,121.821739
11.577839,52,123.59874
15.676543,53,125.416739
11.445285,43,127.019739
12.717304,39,128.575741
8.401264,46,130.729744
13.816604,46,133.10044
13.503657,44,135.266251
8.864754,50,138.244254
7.747355,49,141.398467
8.620675,46,143.46547
10.290984,45,145.246469
8.869259,49,147.045466
13.114241,47,148.742469
11.160734,54,150.591468
10.89841,47,152.514466
12.922556,48,154.272466
9.447057,59,156.217466
12.900551,43,157.841467
10.91721,50,159.588467
6.900886,45,163.392467
7.140999,53,165.390468
11.869916,60,168.108467
10.668918,46,170.317466
12.750333,42,172.075466
15.184062,48,173.80547
15.24286,46,175.516466
15.992983,50,178.118464
8.867227,49,179.948467
7.217926,46,181.800464
17.64524,58,184.382469
12.617905,46,186.729465
10.720157,52,188.74447
7.188889,54,190.692466
15.387652,48,192.427466
6.838841,37,193.946466
7.016307,37,196.205469
11.252322,45,199.329028
11.41805,51,201.797029
15.558779,55,203.869027
8.765711,52,205.92603
13.952381,46,208.35181
10.70479,47,210.43381
8.862112,42,212.34781
14.08462,48,214.133808
8.804862,36,215.924809
9.03499,39,217.884809
13.260741,44,220.615828
13.151208,46,222.649806
12.664496,43,224.563809
11.141304,45,226.78081
14.12106,51,228.80681
9.896535,58,230.75881
12.129708,42,232.468811
8.621648,48,234.230813
8.447051,50,236.146811
11.876247,50,238.379811
9.363926,49,241.296421
8.242928,46,243.324423
6.535915,52,245.300419
9.41658,35,246.864422
14.036122,58,248.922421
10.513882,37,250.563421
9.868458,50,252.47344
11.325888,49,254.34442
11.693462,39,256.347421
11.69888,38,258.61242
12.560075,43,260.326421
7.415968,57,262.40642
7.965723,45,264.218423
12.588213,41,265.859422
13.376818,56,267.876422
10.544267,45,269.629425
12.353516,51,271.593419
8.838739,52,273.531421
15.919518,55,275.590421
15.517982,50,277.535422
13.135721,41,279.223423
6.023486,47,280.99842
13.848212,41,282.687423
15.936897,47,284.467421
9.845751,38,286.128422
14.37012,45,287.915422
9.873904,63,290.080422
11.045866,37,291.747422
12.437548,45,293.686421
13.529222,44,295.423423
15.386912,48,297.248421
9.293428,41,298.95142
14.842312,53,300.941423
9.186027,37,302.542422
12.572871,44,304.293426
8.14283,48,306.125421
7.383233,55,308.069422
11.876279,45,309.79442
8.65276,55,311.791425
14.146072,50,313.68642
13.580175,45,315.510422
9.149653,42,317.254421
7.50448,39,318.903423
6.635319,38,320.680421
10.385365,42,322.39742
8.035645,54,324.364419
6.757145,53,326.34042
12.083025,44,328.114422
14.973397,45,329.889419
7.982532,49,331.804422
8.200989,53,335.645422
13.902098,57,337.659421
15.146726,56,339.670421
14.906222,45,341.465421
10.016187,38,343.099422
12.38741,41,344.766421
9.526387,38,346.437423
14.635148,48,348.267421
10.550011,41,349.938423
6.230709,47,351.799425
10.985374,40,353.457421
11.996335,53,355.365422
9.598773,54,357.402421
13.149693,46,359.183422
10.556284,64,361.864422
18.355228,90,364.700423
12.66126,43,366.430423
10.833984,48,368.254419
11.869613,39,369.901422
10.237303,49,371.785421
12.106373,52,373.745422
10.213413,45,375.500419
12.104113,46,377.314421
12.672951,54,379.266426
7.329817,41,380.923423
14.635684,46,382.802419
5.437757,51,384.792423
7.612345,35,386.384421
16.143138,51,388.31442
10.137789,50,390.224422
7.033054,47,392.028423
6.889522,48,393.915421
15.184054,48,395.79342
12.178367,41,397.495425
13.844482,42,399.235419
11.136357,47,401.087422
7.513284,44,402.911421
8.725723,45,404.718422
5.984329,51,406.634422
12.52962,46,408.402422
10.159758,37,410.004421
9.479583,50,411.867424
7.64041,47,413.682421
7.753755,40,415.33042
7.812998,46,417.114422
12.137362,42,418.835421
7.235723,53,420.794422
9.958093,48,422.70242
9.889827,51,424.654421
16.695615,50,426.495422
9.31316,35,428.080421
11.616259,51,429.99742
11.442847,48,431.855421
8.299221,52,433.811421
9.558035,50,435.73542
15.27991,65,437.884422
9.184307,59,439.887419
12.210986,44,441.666421
13.061161,47,443.663421
9.537121,55,445.737424
10.184163,50,447.728421
10.552621,38,449.72879
5.742181,47,452.055551
8.478723,50,454.676813
8.867079,51,456.991814
9.010941,48,459.269811
13.7985,40,461.307819
9.545467,42,463.362811
17.362196,54,465.887812
10.823505,45,468.033811
10.292538,50,469.941811
11.470698,48,471.845811
13.638139,44,473.678811
10.3473,45,475.419813
12.777429,43,477.187812
11.226146,158,481.381813
16.857196,48,483.222812
3.685859,40,484.908815
9.728745,39,486.560812
16.67822,55,488.566811
10.959542,42,490.243812
19.13874,132,493.893812
11.058209,41,497.631815
10.451121,44,499.372811
12.542131,44,501.076811
13.945819,56,503.123812
12.295141,48,504.931813
9.360385,48,506.737811
10.920323,42,510.063831
13.092899,48,513.184812
9.864374,35,515.573812
12.736318,58,518.380811
10.774567,47,520.983811
14.851036,53,523.41381
8.776304,40,525.403809
13.066324,41,527.387813
14.323592,45,529.379811
10.804477,43,531.45181
11.9055,44,533.615811
11.082061,50,535.80881
8.794365,47,537.960809
12.837802,42,539.971814
9.623782,40,541.896809
10.605036,47,543.756812
14.442197,47,545.54581
22.034174,155,549.628809
10.693526,44,551.37881
11.62989,50,553.268811
14.9757,49,555.175813
14.560211,46,556.979815
11.710264,37,558.557813
16.263764,48,560.439812
12.585678,45,562.195811
15.652895,43,563.969814
9.667379,45,565.801821
6.510942,41,567.462814
8.465449,51,569.401811
9.613422,55,571.436815
10.954622,37,573.044813
10.206388,46,574.830812
8.811551,49,576.658812
10.801305,44,578.423812
6.580025,52,580.418811
12.298296,41,582.076812
10.504093,45,583.86181
14.382913,46,585.723812
14.49576,45,587.461814
14.264364,47,589.23381
8.683725,58,591.337812
12.193137,46,593.177812
12.250446,51,595.452811
7.310053,57,597.515812
12.782112,42,599.278809
6.488868,39,600.945811
7.779232,59,602.995811
9.223027,37,604.594812
12.223857,45,606.404812
10.294232,50,608.271812
11.938076,42,609.978811
4.415189,52,611.89681
10.169595,51,613.773815
9.0407,54,615.706077
10.38004,56,617.792104
